feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
ASV759	Filtered	yes	-0.00513950062941497	0.00253952462499989	16	3	0.0625104381698248	0.189912181764135
ASV765	Filtered	yes	-0.00630013684367615	0.00321848783781997	16	3	0.0705309692389923	0.189912181764135
ASV808	Filtered	yes	-0.00511224689551096	0.0025439666019561	16	3	0.0641594830715397	0.189912181764135
ASV820	Filtered	yes	-0.00491295343549559	0.00246153572532482	16	3	0.0657788437217553	0.189912181764135
ASV837	Filtered	yes	-0.00444539109037897	0.00218240451567392	16	3	0.0610263618464553	0.189912181764135
ASV878	Filtered	yes	-0.00412787834753128	0.00203827142940461	16	3	0.062352605947745	0.189912181764135
ASV902	Filtered	yes	-0.00461666671386787	0.00229210910268776	16	3	0.0636228262936178	0.189912181764135
ASV971	Filtered	yes	-0.00355499599569705	0.00177359123848415	16	3	0.0647655484113398	0.189912181764135
ASV996	Filtered	yes	-0.00354138521806562	0.00175561740628179	16	3	0.0632730189899867	0.189912181764135
ASV1043	Filtered	yes	-0.00412004837292427	0.00207701256997508	16	3	0.0672616271924478	0.189912181764135
ASV1067	Filtered	yes	-0.00312154007191597	0.00158884542305298	16	3	0.0696199895558735	0.189912181764135
ASV1168	Filtered	yes	-0.00303051367760924	0.00148115622094937	16	3	0.0600135635164473	0.189912181764135
ASV417	Filtered	yes	-0.0107939485192946	0.00552902694588083	16	3	0.0712043832217392	0.190949903950009
ASV518	Filtered	yes	-0.010138878945965	0.00519892405749286	16	3	0.0714682443974744	0.190949903950009
ASV124	Filtered	yes	-0.0341035692799181	0.0175136135008084	16	4	0.0718474969312483	0.191224876447784
